prezzo,m2,via,quartiere
 1.500/mese,95m²,Via Sabotino,MAZZINI
 700/mese,35m²,Via Giacinta Pezzana,PARIOLI
 700/mese,45m²,Via Bonaventura Cerretti,BALDO DEGLI UBALDI
 750/mese,60m²,Via dipignano,TOR DI MEZZAVIA
 4.000/mese,200m²,Salita De' Crescenzi,S. EUSTACHIO
 1.950/mese,175m²,Via Valnerina,VESCOVIO
 2.100/mese,150m²,Via Bonaldo Stringher,VIGNA CLARA
 1.500/mese,97m²,via Ugo De Carolis,BALDUINA
 1.300/mese,75m²,viale Viale della Grande Muraglia,CASTELLACCIO
 850/mese,70m²,Via Andrea del Castagno,TINTORETTO
 1.800/mese,146m²,Via Elio Lampridio Cerva,FONTE MERAVIGLIOSA
 1.100/mese,55m²,Via Caltanissetta,PIGNETO
 1.200/mese,113m²,Via Santa Bernadette,BALDO DEGLI UBALDI
 800/mese,53m²,Via della Balduina,BALDUINA
 780/mese,65m²,Via Casimiro Mondino,TORREVECCHIA ALTA
 850/mese,53m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
 2.200/mese,127m²,Via Teodoro Monticelli,PARIOLI
 2.500/mese,146m²,Via Emanuele Gianturco,FLAMINIO
 550/mese,57m²,Via dell'Osteria del Finocchio,FINOCCHIO
 3.200/mese,112m²,Piazza Margana,CAMPITELLI
 1.800/mese,115m²,Via Cassia,TOMBA DI NERONE
 850/mese,30m²,Via Col della Porretta,MONTE SACRO
 800/mese,50m²,Via dei Monti Tiburtini,MONTI TIBURTINI
 2.950/mese,228m²,Via Cassia,TOMBA DI NERONE
 2.000/mese,156m²,Via Salaria,SETTEBAGNI
 700/mese,50m²,Via Ciro Trabalza,MASSIMINA
 4.500/mese,400m²,via Via Tullio Passarelli,TOR DE' CENCI
 1.200/mese,75m²,Via Felice Cavallotti,MONTEVERDE VECCHIO
 3.000/mese,220m²,Viale Cortina d'Ampezzo,CORTINA D'AMPEZZO
 950/mese,104m²,Via del Monte delle Capre,MONTE DELLE CAPRE
 1.900/mese,140m²,Via della Mendola,CORTINA D'AMPEZZO
 2.500/mese,230m²,Via Cassia,TOMBA DI NERONE
 3.000/mese,228m²,Via Massimi,BALDUINA
 1.500/mese,68m²,Via Giulia,REGOLA
 650/mese,40m²,Via Cassia,TOMBA DI NERONE
 600/mese,70m²,Via Stefano Pittaluga ,GROTTE CELONI
 850/mese,60m²,Via Castelfranco Veneto,COLLINA FLEMING
 520/mese,30m²,Via Sisto IV,PINETA SACCHETTI
 700/mese,30m²,Via dei Monti Parioli,PARIOLI
 2.300/mese,170m²,Via Reno,TRIESTE
 3.800/mese,191m²,Via Sicilia,LUDOVISI
 2.000/mese,70m²,Via Omero,VALLE GIULIA
 550/mese,40m²,Via del Casale Lumbroso,MASSIMINA
 2.150/mese,130m²,Via Francesco Marchetti Selvaggiani,AURELIO
 1.450/mese,110m²,Via Costantino Maes,LANCIANI
 2.300/mese,90m²,Via Muzio Clementi,PRATI
 1.500/mese,60m²,Via di Campo Marzio,CAMPO MARZIO
 650/mese,46m²,Via del Trullo,TRULLO
 1.000/mese,60m²,Via Bevagna,COLLINA FLEMING
 550/mese,40m²,Via Mario Carotenuto,GIARDINO DI ROMA
 850/mese,70m²,Piazza Antonio Meucci,MARCONI
 1.650/mese,155m²,Via Tullio Levi Civita,SAN PAOLO
 900/mese,80m²,Corso Duca di Genova,OSTIA PONENTE
 9.500/mese,220m²,Via Salaria,SETTEBAGNI
 2.300/mese,150m²,Via Crescenzio,PRATI
 2.150/mese,157m²,Via Alessandro Trotter,CASAL DEI PAZZI
 2.100/mese,120m²,Via Nino Bixio,ESQUILINO
 1.450/mese,100m²,Via dei Giordani,VERBANO
 750/mese,90m²,Via Ammiraglio Marzolo,OSTIA LEVANTE
 1.600/mese,139m²,Via Latina,APPIO LATINO - ALBERONE
 1.600/mese,52m²,Via delle Nereidi,OSTIA PONENTE
 1.500/mese,52m²,Via dei Coronari,PONTE
 900/mese,75m²,Via Lanfranco,GREGORIO XI
 1.600/mese,100m²,Via Simone mosca,TORREVECCHIA ALTA
 650/mese,70m²,Via Gragnano,COLLE MONFORTANI
 1.500/mese,75m²,Via Ripense,TRASTEVERE
 1.300/mese,95m²,Via Tripoli,AFRICANO
 1.250/mese,70m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
 2.750/mese,96m²,Via di Pietra,COLONNA
 2.200/mese,160m²,Via Vincenzo Troya,MONTE MARIO
 2.500/mese,95m²,Via degli Avignonesi,TREVI
 4.000/mese,250m²,Via Agostino Depretis,CASTRO PRETORIO
 1.000/mese,86m²,Via Monte Grimano,COLLE SALARIO
 945/mese,65m²,Via Romeo Rodriguez Pereira,BALDUINA
 1.200/mese,71m²,Via Sibari,APPIO S. GIOVANNI
 900/mese,80m²,Via Poggio di Venaco,OSTIA LEVANTE
 1.400/mese,80m²,via Lorenzo Valla,MONTEVERDE VECCHIO
 400/mese,20m²,Via di Acilia,ACILIA SUD
 1.000/mese,90m²,Viale Tito Labieno,APPIO CLAUDIO
 550/mese,50m²,Via dei Sette Metri,MORENA
 599/mese,80m²,Via Lucio Mariani,GREGNA S. ANDREA
 850/mese,70m²,Via Portuense,PORTUENSE
 800/mese,38m²,Via Robert Musil,CASAL BOCCONE
 5.300/mese,250m²,Via Frattina,COLONNA
 1.000/mese,65m²,Via Federico Barocci,TOR MARANCIA
 1.600/mese,110m²,Via Genova,MONTI
 750/mese,65m²,Via Calpurnio Pisone,DON BOSCO
 950/mese,98m²,Via Della Casetta Mattei,CASETTA MATTEI
 200/mese,81m²,Via Emma Perodi,TORREVECCHIA ALTA
 1.300/mese,127m²,Via di Acilia,ACILIA SUD
 1.000/mese,70m²,Largo Valtournanche,PRATI FISCALI
 4.500/mese,288m²,Viale Bruno Buozzi,BELLE ARTI
 1.350/mese,120m²,Via Carlo Cipolla,APPIO LATINO - ALBERONE
 570/mese,33m²,Via di Tor Pignattara,TOR PIGNATTARA
 520/mese,30m²,Via Sisto IV,PINETA SACCHETTI
 600/mese,55m²,Via Maruggio,VILLA VERDE
 1.800/mese,165m²,Via Riccardo Forster,FONTE MERAVIGLIOSA
 670/mese,55m²,Via San Giuseppe Cafasso,PONTE MAMMOLO
 1.300/mese,40m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 10.000/mese,240m²,Piazza Mattei,S. ANGELO
 15.000/mese,1.555m²,Largo dell'Olgiata,OLGIATA
 750/mese,80m²,Via Castellamonte,CERQUETTE GRANDI
 2.200/mese,110m²,Via del Monte della Farina,S. EUSTACHIO
 1.250/mese,129m²,Piazza Irnerio,AURELIO
 800/mese,38m²,Via Robert Musil,CASAL BOCCONE
 5.200/mese,266m²,via Marcantonio Colonna 7,PRATI
 3.500/mese,260m²,Via cassia,TOMBA DI NERONE
 6.500/mese,415m²,Piazzale Numa Pompilio,CELIO
 1.450/mese,150m²,Via Carlo Muscetta,BUFALOTTA
 1.500/mese,100m²,Via Palermo,MONTI
 800/mese,105m²,Via Simonide,AXA
 550/mese,65m²,Via Corato,PRATO FIORITO
 1.650/mese,115m²,Appartamento Via Gabriele Camozzi,MAZZINI
 1.100/mese,65m²,Via Giovanni De Agostini,PIGNETO
 1.300/mese,90m²,Circonvallazione Appia,APPIO LATINO - ALBERONE
 3.900/mese,193m²,via Francesco Denza 27,PARIOLI
 900/mese,71m²,Via del Casale Lumbroso,MASSIMINA
 1.000/mese,75m²,Viale Vaticano,EROI TRIONFALE
 900/mese,77m²,via Evemero 35,CASAL PALOCCO
 1.200/mese,66m²,Via dei Banchi Vecchi,PONTE
 550/mese,55m²,Via Militello,FINOCCHIO
 1.150/mese,110m²,Via Maria Bice Valori,PODERE ROSA
 550/mese,40m²,Via del Casale della Maglianella,MAGLIANELLA DI SOTTO
 1.650/mese,100m²,via Gallia,APPIO S. GIOVANNI
 2.000/mese,122m²,Via di trasone,VERBANO
 800/mese,58m²,Via Francica,COLLE TAPPI
 950/mese,70m²,Via Livio Tempesta,COLLI PORTUENSI
 2.700/mese,105m²,via in Arcione,TREVI
 750/mese,40m²,Piazza Dei Sanniti 42,S. LORENZO
 1.300/mese,143m²,Via Tazio Nuvolari,ROMA 70
 850/mese,30m²,Via Alberto Fortis,PARIOLI
 1.900/mese,140m²,"PIAZZA DI VILLA CARPEGNA ,",AURELIO
 1.550/mese,124m²,Via Paolo Bentivoglio,BALDO DEGLI UBALDI
 650/mese,60m²,Via di San Matteo,TOR VERGATA
 1.200/mese,80m²,Corso Duca di Genova,OSTIA PONENTE
 400/mese,25m²,Via di Acilia,ACILIA SUD
 1.600/mese,70m²,Via Ottaviano,PRATI
 470/mese,25m²,Via Felice Grossi Gondi,LANCIANI
 950/mese,100m²,Viale Battista Bardanzellu,COLLI ANIENE
 650/mese,50m²,Via dei Sette Metri,MORENA
 750/mese,60m²,Via Mordano,ACILIA SUD
 850/mese,66m²,VIA DELLE CAVE,COLLI ALBANI
 1.800/mese,121m²,Via Giacinta Pezzana,PARIOLI
 3.450/mese,160m²,Via del Monte della Farina,S. EUSTACHIO
 1.100/mese,70m²,Via Collazia,APPIO S. GIOVANNI
 1.100/mese,70m²,Via Nomentana,LANCIANI
 1.000/mese,60m²,Viale Giorgio Ribotta,CASTELLACCIO
 670/mese,55m²,Via Mario Carotenuto,GIARDINO DI ROMA
 1.450/mese,134m²,Via Monteforte Irpino,NUOVA GORDIANI
 1.100/mese,76m²,Via Anagnina,CENTRONI - VALLE MARCIANA
 500/mese,35m²,Via Sisto IV,PINETA SACCHETTI
 750/mese,85m²,via Ammiraglio del Bono,OSTIA LEVANTE
 770/mese,26m²,Via Ernesto Monaci,ITALIA
 850/mese,60m²,Via Domenico Cucchiari,CASAL BERTONE
 2.700/mese,350m²,Largo dell'Olgiata,OLGIATA
 490/mese,24m²,Piazza dei Giuochi Delfici,VIGNA CLARA
 1.500/mese,120m²,Via Elio Chianesi,CASAL BRUNORI
 2.050/mese,103m²,Via Sannio,APPIO S. GIOVANNI
 800/mese,65m²,Via Alessandro Vellutello,CASAL BERNOCCHI
 540/mese,30m²,Piazza dei Giuochi Delfici,VIGNA CLARA
 800/mese,80m²,Via pio joris,TOR SAPIENZA
 11.000/mese,300m²,via Nicola Martelli,PARIOLI
 550/mese,40m²,Via del Casale della Maglianella,MAGLIANELLA DI SOTTO
 3.700/mese,210m²,via Giovanni Antonelli,PARIOLI
 77.000/mese,3.624m²,Via Carlo Veneziani,PARCO DE' MEDICI
 1.200/mese,80m²,Via Alfonso Borelli,ITALIA
 1.100/mese,90m²,Via Suor Celestina Donati,BATTISTINI
 2.400/mese,220m²,Via Giovanni Arrivabene,VIGNA CLARA
 1.250/mese,70m²,Via Vincenzo Tiberio,COLLINA FLEMING
 850/mese,50m²,via dei guastatori,GIULIANO DALMATA
 4.000/mese,200m²,Via Dandolo,TRASTEVERE
 700/mese,30m²,Via Salaria,SETTEBAGNI
 1.250/mese,112m²,Largo Alessandro Vessella,VESCOVIO
 8.000/mese,168m²,Piazza di Spagna,CAMPO MARZIO
 2.100/mese,90m²,Via Sicilia,LUDOVISI
 1.350/mese,110m²,Via dei Giuochi Istmici,FARNESINA
 900/mese,80m²,Via Festo Porzio,APPIO CLAUDIO
 900/mese,65m²,Via Romeo Rodriguez Pereira,BALDUINA
 850/mese,61m²,Via Anagnina,CENTRONI - VALLE MARCIANA
 650/mese,45m²,Viale Ratto delle Sabine,CASAL MONASTERO
 1.300/mese,71m²,Via Santamaura,EROI TRIONFALE
 1.650/mese,201m²,Via Val Sillaro,CONCA D'ORO
 860/mese,106m²,Via di Casal Morena,COLLE TAPPI
 1.000/mese,90m²,Via di Torrevecchia,TORREVECCHIA ALTA
 1.200/mese,65m²,Via Eustachio Manfredi,PARIOLI
 1.000/mese,70m²,Via Macedonio Melloni,VALCO S. PAOLO
 1.800/mese,81m²,Vicolo della Torre,TRASTEVERE
 900/mese,70m²,Via Francesco Cilea,INFERNETTO
 500/mese,35m²,Via Carlo Jucci,CASTEL DI LEVA
 1.980/mese,80m²,Arco della Pace,PONTE
 950/mese,55m²,Via Portuense,PORTUENSE
 1.900/mese,100m²,Via Arbia,VERBANO
 8.000/mese,152m²,Via Vittoria,CAMPO MARZIO
 850/mese,70m²,Via Edoardo Jenner,COLLI PORTUENSI
 850/mese,60m²,Via Franco Becci,PORTA DI ROMA
 1.600/mese,131m²,Via Cassia,TOMBA DI NERONE
 1.390/mese,105m²,Via San Lorenzo da Brindisi,GARBATELLA
 1.650/mese,100m²,Via Eugenio Terziani,VESCOVIO
 700/mese,65m²,Via Croviana,INFERNETTO
 900/mese,83m²,Via Attilio Profumo,OSTIA ANTICA
 3.200/mese,50m²,"Via Flavia,93",SALLUSTIANO
 620/mese,45m²,Viale del Tecnopolo,CASE ROSSE
 600/mese,35m²,Via Lodovico Pavoni,LA MARRANELLA
 1.550/mese,120m²,Via Marcantonio Bragadin,EROI TRIONFALE
 450/mese,45m²,Via del Casale della Maglianella,MAGLIANELLA DI SOTTO
 1.600/mese,100m²,via principe eugenio,ESQUILINO
 400/mese,20m²,Via del Casale Rocchi,CASALE ROCCHI
 1.400/mese,103m²,Via Appia Nuova,APPIO LATINO - ALBERONE
 1.800/mese,100m²,Piazza Volsinio,VERBANO
 500/mese,22m²,Viale delle Orchidee,CENTOCELLE
 1.300/mese,65m²,Via Pietro della Valle,PRATI
 1.350/mese,75m²,Via Luca della Robbia,TESTACCIO
 6.500/mese,415m²,Piazzale Numa Pompilio,CELIO
 950/mese,85m²,Via Publio Rutilio Rufo,APPIO CLAUDIO
 1.600/mese,91m²,Via Vittorio Alfieri,ESQUILINO
 3.900/mese,50m²,"Via Flavia,93",SALLUSTIANO
 1.300/mese,40m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 1.150/mese,53m²,Via di Monte del Gallo,AURELIO
 750/mese,35m²,Via della Pisana,VILLINI
 770/mese,26m²,Via Ernesto Monaci,ITALIA
 1.300/mese,120m²,Via Adolfo Albertazzi,TALENTI
 750/mese,50m²,Via Alfredo Baccarini,APPIO LATINO - ALBERONE
 1.500/mese,100m²,Via Ponza,MONTE SACRO
 520/mese,30m²,Via Sisto IV,PINETA SACCHETTI
 700/mese,50m²,Via Forno Saraceno,FORNO SARACENO
 1.300/mese,120m²,Via Ambrogio Traversari,MONTEVERDE VECCHIO
 2.100/mese,90m²,Via Napoleone Parboni,PORTA PORTESE
 800/mese,41m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 800/mese,60m²,Via Ampio Flaviano,DON BOSCO
 600/mese,35m²,Via Vincenzo Montenovesi,MONTESPACCATO
 700/mese,30m²,Via Salaria,SETTEBAGNI
 800/mese,100m²,Via Vervio,CENTRONI - VALLE MARCIANA
 1.800/mese,118m²,Via dell'Arco de' Cenci,REGOLA
 2.300/mese,117m²,Via Savoia,SALARIO
 850/mese,60m²,Via di Torrevecchia,TORREVECCHIA ALTA
 800/mese,75m²,Via Gian Pietro Talamini,TRIGORIA
 1.100/mese,100m²,Via Giovanni Vestri,COLLI PORTUENSI
 690/mese,40m²,Via Antonio Dionisi,COLLI PORTUENSI
 950/mese,78m²,Via Tuscolana,DON BOSCO
 2.000/mese,55m²,piazza Albania 36,S. SABA
 650/mese,30m²,Via Carlo Francesco Bellingeri,TORREVECCHIA ALTA
 850/mese,60m²,Via Portuense,PORTUENSE
 550/mese,40m²,Via del Casale della Maglianella,MAGLIANELLA DI SOTTO
 490/mese,24m²,Piazza dei Giuochi Delfici,VIGNA CLARA
 2.800/mese,204m²,Via Cassia,TOMBA DI NERONE
 2.200/mese,90m²,Via Sicilia,LUDOVISI
 1.100/mese,60m²,Corso Trieste,TRIESTE
 1.100/mese,90m²,Via Mattia Battistini,PRIMAVALLE
 650/mese,40m²,Via Pisino,COLLATINO
 550/mese,40m²,Via Galtarossa,TOR VERGATA
 1.800/mese,80m²,Via Giovanni Battista de Rossi,NOMENTANO
 450/mese,45m²,Via del Casale Lumbroso,MASSIMINA
 830/mese,48m²,Via delle Messi d'Oro,PIETRALATA
 1.580/mese,125m²,via Piave,SALLUSTIANO
 820/mese,45m²,Piazza Tuscolo,APPIO S. GIOVANNI
 2.200/mese,130m²,Via Acherusio,VERBANO
 1.500/mese,120m²,Viale Umberto Tupini,EUR
 850/mese,70m²,Via Zignago,TORREVECCHIA BASSA
 1.550/mese,50m²,Viale Liegi,PINCIANO
 600/mese,35m²,Via Vincenzo Montenovesi,MONTESPACCATO
 750/mese,58m²,Via Giuseppe Capograssi,NUOVA ROMANINA
 770/mese,30m²,Via Ernesto Monaci,ITALIA
 700/mese,75m²,Via Fratel Mario Adani,VILLAGGIO FALCONE
 3.000/mese,90m²,lungomare Paolo Toscanelli,OSTIA LEVANTE
 550/mese,30m²,Via Eschilo,AXA
 800/mese,66m²,Via Federigo Verdinois,VERDEROCCA
 900/mese,40m²,Via Pio IV,AURELIO
 900/mese,77m²,via Evemero 35,CASAL PALOCCO
 850/mese,70m²,Piazza Antonio Meucci,MARCONI
 1.450/mese,100m²,Viale Bruno Buozzi,BELLE ARTI
 850/mese,62m²,Via Federico Enriques,MARCONI
 1.550/mese,100m²,Via Amerigo Vespucci,TESTACCIO
 1.600/mese,60m²,Viale Giorgio Ribotta,CASTELLACCIO
 600/mese,40m²,Via Anteo,TORRE ANGELA
 1.350/mese,75m²,Circonvallazione Clodia,DELLA VITTORIA
 800/mese,45m²,Piazzale di Val Fiorita,EUR
 1.000/mese,95m²,Via Canzone del Piave,GIULIANO DALMATA
 2.750/mese,180m²,Via Archimede,PARIOLI
 2.500/mese,130m²,Via Muzio Clementi,PRATI
 1.050/mese,55m²,Viale Gioacchino Rossini,PINCIANO
 500/mese,45m²,Via Alessandro Santini,MASSIMINA
 1.500/mese,70m²,Via Riccardo Grazioli Lante,MAZZINI
 800/mese,55m²,Via Laura Mantegazza,MONTEVERDE NUOVO
 700/mese,30m²,Via Salaria,SETTEBAGNI
 1.100/mese,134m²,Via Valbondione,LABARO
 2.400/mese,166m²,Via Sabotino,MAZZINI
 1.199/mese,90m²,Via dei Due Ponti,DUE PONTI
 600/mese,40m²,Via Luigi de Marchi,FONTE LAURENTINA
 1.100/mese,65m²,Via Padova,ITALIA
 1.000/mese,62m²,Viale Città d'Europa,TORRINO
 1.550/mese,70m²,Viale del Vignola,FLAMINIO
 550/mese,45m²,Via delle Case Rosse,CASE ROSSE
 1.200/mese,114m²,Via Giannetto Valli,PORTUENSE
 1.900/mese,130m²,Via Giacinta Pezzana,PARIOLI
 750/mese,45m²,Via Appia Nuova,APPIO LATINO - ALBERONE
 766/mese,45m²,Piazza Gentile da Fabriano,FLAMINIO
 700/mese,65m²,Via Giuseppe Berneri,TORRE SPACCATA
 1.200/mese,51m²,Via Isonzo,PINCIANO
 3.000/mese,297m²,Piazza Stefano Jacini,VIGNA CLARA
 1.100/mese,62m²,Viale Guglielmo Marconi,MARCONI
 600/mese,30m²,Via Ardeatina,FALCOGNANA-DIVINO AMORE
 800/mese,70m²,Via San Marco Argentano,TRIGORIA ALTA
 800/mese,35m²,Circonvallazione Appia,APPIO LATINO - ALBERONE
 650/mese,50m²,Via Costantiniana,LABARO
 850/mese,58m²,Via Plotino,MEDAGLIE D'ORO
 2.030/mese,117m²,Via Giacomo Venezian,TRASTEVERE
 890/mese,60m²,Via della Giustiniana,PRIMA PORTA
 900/mese,75m²,Via Emilio Repossi,COLLINA LANCIANI
 600/mese,30m²,Via Grotte di Penseroni,TRIGORIA
 1.350/mese,135m²,Via delle Baleniere,OSTIA PONENTE
 490/mese,30m²,Via Stefano Jacini,VIGNA CLARA
 1.200/mese,70m²,Via Mario Fani,TRIONFALE
 900/mese,70m²,Via Tiburtina,TECNOPOLO
 1.250/mese,85m²,Via della Camilluccia,CAMILLUCCIA
 1.500/mese,155m²,via Castelfranco Veneto,COLLINA FLEMING
 1.400/mese,120m²,Via Marche,LUDOVISI
 2.500/mese,200m²,via Leucippo,LA LINGUA
 1.460/mese,73m²,Via Gaetano Fuggetta,VILLA BONELLI
 2.650/mese,55m²,Via Della Panetteria,TREVI
 650/mese,22m²,Via Oglio,TRIESTE
 950/mese,95m²,Via Stefano Borgia,PRIMAVALLE
 300/mese,25m²,Via Offagna,GIARDINI DI CORCOLLE
 1.350/mese,110m²,Via Marmorata,TESTACCIO
 2.200/mese,200m²,Via San Candido,INFERNETTO
 1.100/mese,67m²,Via Romeo Rodriguez Pereira,BALDUINA
 750/mese,60m²,Via di Monte Sacro,MONTE SACRO
 1.270/mese,85m²,Via Raffaele Conforti,VAL CANNUTA
 1.530/mese,87m²,Via della Luce,TRASTEVERE
 1.100/mese,96m²,Viale Leonardo da Vinci,SAN PAOLO
 1.100/mese,50m²,Via degli Ibernesi,MONTI
 1.980/mese,168m²,Via Vallombrosa,CORTINA D'AMPEZZO
 1.500/mese,60m²,Via dell'Olmata,MONTI
 780/mese,60m²,Via di Casal del Marmo,PALMAROLA
 4.500/mese,180m²,Viale di Villa Grazioli,PARIOLI
 600/mese,25m²,Via dei Quintili,QUADRARO VECCHIO
 1.200/mese,70m²,Via Orazio Antinori,TESTACCIO
 500/mese,35m²,Via dell'Appagliatore,OSTIA PONENTE
 650/mese,45m²,Via della Cellulosa,CASALOTTI
 800/mese,68m²,Via Francesco Giangiacomo,TOR MARANCIA
 2.000/mese,90m²,Via Bolzano,TRIESTE
 1.200/mese,80m²,Viale Cesare Pavese,FERRATELLA
 1.400/mese,106m²,Via Montaione,NUOVO SALARIO
 1.050/mese,55m²,Piazza Ungheria,PARIOLI
 550/mese,35m²,Via delle Palme,CENTOCELLE
 450/mese,45m²,Via Silvestri,BRAVETTA
 1.000/mese,63m²,Via Antonio Nibby,NOMENTANO
 480/mese,30m²,Via Ortucchio,CASE ROSSE
 1.700/mese,115m²,Via Gian Francesco Albani,AURELIO
 2.100/mese,185m²,Via San Godenzo,SAN GODENZO
 1.050/mese,55m²,Via Cardinale Garampi,PINETA SACCHETTI
 800/mese,83m²,Via Sante Vandi,ROMANINA
 1.050/mese,70m²,Via Costantino Corvisieri,LANCIANI
 850/mese,30m²,Via Columella,QUADRARO VECCHIO
 1.450/mese,75m²,Via Flaminia,COLLINA FLEMING
 750/mese,60m²,Via di Monte Sacro,MONTE SACRO
 1.400/mese,80m²,Via della Casetta Mattei,CASETTA MATTEI
 950/mese,38m²,Via Ottaviano,PRATI
 1.300/mese,40m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 750/mese,100m²,Via della Magliana,MAGLIANA
 650/mese,50m²,Vicolo Di Forma Rotta,FINOCCHIO
 1.300/mese,80m²,Viale Guglielmo Marconi,MARCONI
 800/mese,45m²,Viale di Val Fiorita,EUR
 550/mese,30m²,Via Enrico Theodoli,DUE PONTI
 740/mese,38m²,Via dei Carafa,CASETTA MATTEI
 800/mese,50m²,Via Laura Mantegazza,MONTEVERDE NUOVO
 6.000/mese,250m²,Via Misurina,CORTINA D'AMPEZZO
€ 950/mese,90m²,Via Amantea,STATUARIO
€ 1.000/mese,60m²,Via Alcide Pedretti,OSTIA PONENTE
€ 16.000/mese,240m²,Via dei Condotti,CAMPO MARZIO
€ 23.000/mese,580m²,via tagliamento,TRIESTE
€ 1.500/mese,50m²,Via del Boschetto,MONTI
€ 17.000/mese,240m²,Via dei Condotti,CAMPO MARZIO
€ 1.150/mese,81m²,Via Bressanone,TRIESTE
€ 950/mese,55m²,Via dei Campani,S. LORENZO
€ 2.400/mese,135m²,Via Guido Banti,COLLINA FLEMING
€ 8.000/mese,700m²,Largo dell'Olgiata,OLGIATA
€ 750/mese,85m²,Via di Tor Sapienza,TOR SAPIENZA
€ 600/mese,50m²,Via Barete,VILLAGGIO PRENESTINO
€ 1.300/mese,70m²,Via Roberto Alessandri,COLLI PORTUENSI
€ 1.500/mese,93m²,Via Ugo Betti,MONTEVERDE NUOVO
€ 400/mese,15m²,Via Pian Due Torri,MAGLIANA
€ 700/mese,97m²,Via dei Sulpici,QUADRARETTO
€ 7.000/mese,400m²,Viale Prassilla,CASAL PALOCCO
€ 1.398/mese,53m²,viale Liegi,PINCIANO
€ 980/mese,65m²,Via Claudio Achillini,TALENTI
€ 750/mese,70m²,Via Ubaldo Montelatici,MOLINO S. FELICOLA
€ 30.000/mese,434m²,Via Teheran,FARNESINA
€ 800/mese,67m²,Via Eugenio Torelli Viollier,MONTI DI PIETRALATA
€ 3.000/mese,160m²,Via Calalzo,CORTINA D'AMPEZZO
€ 800/mese,70m²,Via Rezzato,SELVA CANDIDA
€ 12.000/mese,700m²,Via del Casale di San Nicola,LA STORTA
€ 850/mese,42m²,"Via Tiburtina, 602",TECNOPOLO
€ 1.500/mese,120m²,Via Nanchino,TORRINO
€ 1.800/mese,63m²,Via Cesare De Lollis,S. LORENZO
€ 1.500/mese,75m²,Via Giuseppe Acerbi,OSTIENSE
€ 3.500/mese,120m²,Via del Governo Vecchio,PARIONE
€ 1.300/mese,110m²,Viale Gianluigi Bonelli,MEZZOCAMMINO
€ 1.650/mese,100m²,Via Dardanelli,MAZZINI
€ 1.800/mese,115m²,Viale Città d'Europa,TORRINO
€ 450/mese,45m²,Vicolo del Casale Lumbroso,CASAL LUMBROSO
€ 500/mese,45m²,Via Palagonia,VALLE FIORITA
€ 1.900/mese,80m²,via dell'Arco di San Calisto,TRASTEVERE
€ 750/mese,70m²,Via Flavio Stilicone,DON BOSCO
€ 750/mese,71m²,Via Radicofani,FIDENE
€ 1.000/mese,100m²,Via Frisa,VILLAGGIO PRENESTINO
€ 1.250/mese,115m²,Via Tancredi Cartella,PORTONACCIO
€ 650/mese,45m²,Via Monte Nevoso,MONTE SACRO
€ 1.900/mese,130m²,via della Pisana,VILLINI
€ 1.250/mese,65m²,Via Massaciuccoli,VERBANO
€ 650/mese,45m²,Via Dipignano,TOR DI MEZZAVIA
€ 700/mese,60m²,via galli della mantica,OSTIA LEVANTE
€ 2.100/mese,120m²,Piazza Euclide,PARIOLI
€ 830/mese,60m²,Via Sangineto,CENTRO GIANO
€ 1.100/mese,100m²,Viale Ronchi,VILLA GORDIANI
€ 1.700/mese,210m²,via Galloro,QUARTO MIGLIO
€ 850/mese,60m²,Viale Italo Calvino,ACQUA ACETOSA OSTIENSE
€ 1.350/mese,80m²,Via Bevagna,COLLINA FLEMING
€ 1.600/mese,100m²,Via Dardanelli,MAZZINI
€ 10.000/mese,150m²,via di Villa Ruffo,VALLE GIULIA
€ 1.200/mese,85m²,Viale Castrense,TUSCOLANO
€ 10.000/mese,150m²,Largo Pietro di Brazzà,TREVI
€ 700/mese,53m²,Via Isidoro di Carace,PIGNETO
€ 1.800/mese,104m²,Via Sebino,VERBANO
€ 2.600/mese,124m²,via San Cipriano,VALLE AURELIA
€ 8.000/mese,203m²,Via di Villa Ruffo,VALLE GIULIA
€ 850/mese,65m²,Via Oderisi da Gubbio,MARCONI
€ 2.100/mese,68m²,Via Saverio Mercadante,PINCIANO
€ 2.030/mese,118m²,Via Giacomo Venezian,TRASTEVERE
€ 750/mese,65m²,Via della Magnetite,COLLINA LANCIANI
€ 2.800/mese,150m²,Via di Villa Ricotti,ITALIA
€ 10.000/mese,261m²,Via di Ripetta,CAMPO MARZIO
€ 14.000/mese,311m²,Piazza Borghese,CAMPO MARZIO
€ 850/mese,96m²,Via Ferdinando Acton,OSTIA LEVANTE
€ 730/mese,65m²,Via Giovanni Faber,ALESSANDRINO
€ 1.100/mese,50m²,via della camilluccia,CAMILLUCCIA
€ 1.450/mese,103m²,Via Roccaporena,COLLINA FLEMING
€ 1.800/mese,92m²,Via Metauro,SALARIO
€ 550/mese,51m²,Via Antonio Capetti,NUOVA PONTE DI NONA
€ 950/mese,140m²,Via Foglianise,COLLE PRENESTINO
€ 2.800/mese,120m²,Viale di Trastevere,PORTA PORTESE
