prezzo,m2,via,quartiere
 725/mese,65m²,Via Filippo Antonio Gualterio,NUOVO SALARIO
 4.800/mese,160m²,Via dei Greci,CAMPO MARZIO
 770/mese,30m²,Via Montebello,CASTRO PRETORIO
 600/mese,50m²,Via Domenico Purificato,MADONNETTA
 550/mese,60m²,Via Raoul Chiodelli,NUOVA PONTE DI NONA
 600/mese,55m²,Via Olginate,VALLE MURICANA
 4.200/mese,190m²,Via Lucullo,SALLUSTIANO
 1.350/mese,75m²,Via Amerigo Vespucci,TESTACCIO
 850/mese,90m²,Via Castiglione di Sicilia,VERMICINO
 700/mese,37m²,Via Maria Barbara Tosatti,TALENTI
 750/mese,45m²,Via Manlio Torquato,FURIO CAMILLO
 1.800/mese,154m²,Via Pio IX,PINETA SACCHETTI
 650/mese,35m²,Via Appia Antica,PARCO DELL'APPIA ANTICA
 750/mese,30m²,Via Montebello,CASTRO PRETORIO
 1.800/mese,156m²,Via Livio Pentimalli,BALDUINA
 1.200/mese,105m²,Via Gregorio VII,AURELIO
 900/mese,70m²,Via Primo Carnera,L'ANNUNZIATELLA
 750/mese,30m²,Via Montebello,CASTRO PRETORIO
 600/mese,25m²,Via dei Sabelli,S. LORENZO
 400/mese,20m²,Via di Acilia,ACILIA SUD
 750/mese,30m²,Via Montebello,CASTRO PRETORIO
 700/mese,50m²,Via Giorgio Vigolo,ACQUA ACETOSA OSTIENSE
 30.000/mese,2.000m²,Via Cilento,MONTE SACRO
 1.200/mese,120m²,"Via Lucrino , 16",VERBANO
 899/mese,65m²,Via Giacomo Grosso,LA RUSTICA
 550/mese,40m²,Via Realmonte,BORGHESIANA
 1.000/mese,84m²,Via Mariano Rampolla,TORREVECCHIA ALTA
 750/mese,70m²,Piazza Gian Lorenzo Bernini,S. SABA
 980/mese,52m²,Via Portuense,PORTUENSE
 3.700/mese,230m²,Via Monte Zebio,MAZZINI
 500/mese,50m²,Via Asciano,IDROVORE DELLA MAGLIANA
 3.300/mese,100m²,Via della Colonna Antonina,COLONNA
 900/mese,65m²,Viale Angelico,DELLA VITTORIA
 2.300/mese,110m²,Via Antonio Pollaiolo,PARIOLI
 1.000/mese,65m²,Piazza della Balduina,BALDUINA
 900/mese,70m²,Viale Spartaco,APPIO CLAUDIO
 1.500/mese,130m²,Via Gerolamo Belloni,VIGNA CLARA
 680/mese,30m²,Via della Pineta Sacchetti,TORREVECCHIA ALTA
 2.300/mese,137m²,Via Bolzano,TRIESTE
 750/mese,45m²,Via Manlio Torquato,FURIO CAMILLO
 750/mese,139m²,Via Quero,OSTERIA NUOVA
 1.300/mese,130m²,Via di Malafede,CASAL BERNOCCHI
 600/mese,50m²,Via dei Gonzaga,VILLINI
 1.550/mese,117m²,Via della Sierra Nevada,EUR
 650/mese,70m²,Via dei Fiori,ALESSANDRINO
 800/mese,80m²,Via delle Vitalbe,CENTOCELLE
 700/mese,70m²,Via Bertonico,SELVA CANDIDA
 1.500/mese,156m²,Via dei Giornalisti,IGEA
 3.900/mese,200m²,Via Ettore Ximenes,PARIOLI
 1.300/mese,85m²,Viale della Grande Muraglia,CASTELLACCIO
 3.500/mese,300m²,Via Tullio Passarelli,TOR DE' CENCI
 630/mese,70m²,Via dei Fiori,ALESSANDRINO
 3.500/mese,234m²,Via Cassia,TOMBA DI NERONE
 650/mese,70m²,Viale Alessandrino,ALESSANDRINO
 700/mese,70m²,Via Bertonico,SELVA CANDIDA
 1.250/mese,80m²,Viale della Grande Muraglia,CASTELLACCIO
 480/mese,27m²,Via Ortucchio,CASE ROSSE
 650/mese,70m²,Via dei Girasoli,ALESSANDRINO
 2.200/mese,195m²,Via Casale Ghella,GROTTAROSSA
 1.900/mese,150m²,VIA TRIONFALE,OTTAVIA
 890/mese,80m²,Via Luigi Ploner,LA STORTA
 1.290/mese,58m²,Viale Liegi,PINCIANO
 650/mese,70m²,Viale Alessandrino,ALESSANDRINO
 1.700/mese,100m²,Via della Stelletta,S. EUSTACHIO
 700/mese,70m²,Via Bertonico,SELVA CANDIDA
 700/mese,70m²,Via Bertonico,SELVA CANDIDA
 850/mese,50m²,Via dei Glicini,CENTOCELLE
 590/mese,50m²,Via Ferdinando Acton,OSTIA LEVANTE
 800/mese,140m²,Via Massimo Meliconi,CASAL BRUNORI
 2.900/mese,130m²,Via dell'Arco de' Ginnasi,PIGNA
 600/mese,30m²,Via degli Apuli,S. LORENZO
 650/mese,70m²,Viale Alessandrino,ALESSANDRINO
 600/mese,35m²,Via Stefano Satta Flores,CASALE NEI
 650/mese,25m²,Via di Donna Olimpia,MONTEVERDE NUOVO
 980/mese,50m²,Via Massaciuccoli,VERBANO
 1.600/mese,131m²,Via Cassia,TOMBA DI NERONE
 1.370/mese,100m²,Via Scandriglia,VESCOVIO
 750/mese,50m²,Via Pietro Marchisio,CINECITTA' EST
 650/mese,70m²,Via dei Fiori,ALESSANDRINO
 950/mese,90m²,Via degli Armenti,TOR SAPIENZA
 750/mese,45m²,Via Manlio Torquato,FURIO CAMILLO
 480/mese,27m²,Via Ortucchio,CASE ROSSE
 800/mese,35m²,Via Venanzio Fortunato,MEDAGLIE D'ORO
 1.550/mese,75m²,Via Carlo Passaglia,EROI TRIONFALE
 750/mese,45m²,Via Manlio Torquato,FURIO CAMILLO
 850/mese,40m²,Via Cesare Baronio,APPIO LATINO - ALBERONE
 900/mese,73m²,Vicolo Vicinale,MONTEVERDE NUOVO
 2.600/mese,180m²,Viale Gorizia,TRIESTE
 550/mese,18m²,Via Quintino Sella,SALLUSTIANO
 1.390/mese,88m²,Via della Meloria,EROI TRIONFALE
 900/mese,71m²,Via Luigi Kossuth,PORTUENSE
 570/mese,42m²,Via della Linotype,TRIGORIA
 1.200/mese,45m²,Arco della Chiesa Nuova,PARIONE
 780/mese,41m²,VIA ROBERT MUSIL,CASAL BOCCONE
 750/mese,75m²,Via Sant'Antonio di Padova,SETTEBAGNI
 1.500/mese,93m²,via Pompeo Trogo,BALDUINA
 1.300/mese,50m²,Via Berengario,ITALIA
 3.500/mese,100m²,"VIA DI RIPETTA ,",CAMPO MARZIO
 750/mese,45m²,Piazza Clemente Origo,MEZZOCAMMINO
 1.700/mese,90m²,Via Boncompagni,LUDOVISI
 1.400/mese,66m²,Borgo Pio,BORGO
 1.150/mese,97m²,Via Fiume Bianco,DECIMA
 650/mese,64m²,Via di Colle Trugli,FINOCCHIO
 3.300/mese,201m²,Via di Tor Fiorenza,VESCOVIO
 1.000/mese,85m²,Via Ceccano,CENTOCELLE
 3.900/mese,240m²,Via Della Ferratella In Laterano,MONTI
 2.000/mese,180m²,Via Riccardo Forster,FONTE MERAVIGLIOSA
 950/mese,82m²,Via Rodolfo Valentino,VIGNE NUOVE
 600/mese,45m²,Via Italo Piccagli,GIUSTINIANA
