id,nome,turistiche,storiche,metro,quartiere
12387394241,Villa romana detta dei Caminetti,,ruins,,TORRENOVA
12484449287,Aula Gotica,attraction,,,CELIO
12504263090,Stanze di Santa Brigida,museum,,,REGOLA
12544253674,Schola Praeconum (Scuola degli Araldi),,archaeological_site,,CAMPITELLI
12571509623,Mausoleo di Aquilio Regolo,,archaeological_site,,CASAL BRUCIATO
12585439955,Giordano Bruno monument,,monument,,PARIONE
12601265068,Quintiliani,,,subway_entrance,MONTI DI PIETRALATA
12648707297,"CIL 06, 09545",,monument,,PARCO DELL'APPIA ANTICA
12648715904,Roman tomb,,archaeological_site,,FIORANELLO - PARCO DELL'APPIA ANTICA
12674415017,Domus di Lucio Licinio Sura,,archaeological_site,,MONTI
12674448183,domus annorum,,archaeological_site,,MONTI
12676150816,Torre Maura,,,subway_entrance,TORRE MAURA
12701919771,Resti di Mura Serviane,,ruins,,COLONNA
12707172364,Museo Nazionale Romano di Palazzo Massimo,museum,,,CASTRO PRETORIO
12725805504,Museo Agostinelli,museum,,,DRAGONA
12760725789,sepolcro di Marco Antonio Anzio Lupo,,archaeological_site,,TOR DI VALLE
12800612314,FAO,attraction,,,VALLE DELLA CAFFARELLA - PARCO DELL'APPIA ANTICA
12806720460,Resti del Tempio di Giove,,ruins,,PARCO DELL'APPIA ANTICA
12813664034,Horrea Piperataria,,archaeological_site,,CAMPITELLI
12887127987,Cisterna romana a Villa Spada,,ruins,,VILLA SPADA
13028360534,ACEA Heritage,museum,,,MIANI
13042638460,Baldo degli Ubaldi,,,subway_entrance,BALDO DEGLI UBALDI
13054451679,Aula del Buon Pastore,,ruins,,PARCO ARCHEOLOGICO OSTIA ANTICA
13054673400,Basilica costantiniana di Ostia,,archaeological_site,,PARCO ARCHEOLOGICO OSTIA ANTICA
13077719029,Tomba di Marco Nonio Macrino,,archaeological_site,,PIANA DEL TEVERE
13106005601,Museo Condominiale di Tor Marancia,museum,,,TOR MARANCIA
13109049417,Ottaviano,,,station,PRATI
13116299992,Casa dei Cesaroni,attraction,,,PIGNETO
13119048948,Domus Aurea,,archaeological_site,,MONTI
13147707370,Museo della Scuola Romana,museum,,,NOMENTANO
13180241736,Cornelia,,,station,BOCCEA
13183475739,Spagna,,,station,CAMPO MARZIO
13183475742,Manzoni,,,station,ESQUILINO
13183496361,Re di Roma,,,station,TUSCOLANO
13183507434,Ponte Lungo,,,station,TUSCOLANO
13183513091,Vittorio Emanuele,,,station,ESQUILINO
13183516521,Barberini,,,station,TREVI
13183516522,Lepanto,,,station,PRATI
13183518903,Flaminio,,,station,VALLE GIULIA
13183520675,Repubblica,,,station,CASTRO PRETORIO
13183609942,Furio Camillo,,,station,FURIO CAMILLO
13183632209,Colli Albani,,,station,COLLI ALBANI
13183668822,Valle Aurelia,,,station,VALLE AURELIA
13183676216,Cipro,,,station,EROI TRIONFALE
13183676217,Arco di Travertino,,,station,ARCO DI TRAVERTINO
13183692877,Baldo degli Ubaldi,,,station,BALDO DEGLI UBALDI
13183692878,Numidio Quadrato,,,station,QUADRARO
13183706724,Porta Furba/Quadraro,,,station,QUADRARETTO
13183722198,Cinecittà,,,station,APPIO CLAUDIO
13183724021,Anagnina,,,station,CINECITTA' EST
13255365659,Battistini,,,station,PINETA SACCHETTI
13256178943,Museo Missionario di Propaganda Fide,museum,,,COLONNA
13256187380,Presepio monumemtale napoletano del '700,museum,,,CAMPITELLI
13261731541,Colosseo,,,subway_entrance,MONTI
13264779030,Museo delle Mura,museum,,,CELIO
13296452566,Museo della Basilica,museum,,,ESQUILINO
13381283680,Porta Metronia,,,station,APPIO S. GIOVANNI
13388460819,Porta Metronia,,,subway_entrance,APPIO S. GIOVANNI
13395745643,Ponte Lungo,,,subway_entrance,TUSCOLANO
13460785710,Museo Nazionale Etrusco di Villa Giulia,museum,,,VALLE GIULIA
13479680016,Museo Nazionale Romano - Terme di Diocleziano,museum,,,CASTRO PRETORIO
13479683559,Musiba - Museo di Scienze Naturali dei bambini,museum,,,ITALIA
13482999691,Arco presso Santi Urbano e Lorenzo,,ruins,,PRIMA PORTA
13483009525,tomba romana,,archaeological_site,,SAXA RUBRA
13500721400,Cippo Italcable,,monument,,LIDO DI CASTEL FUSANO
13589382568,Porta Metronia,,,subway_entrance,APPIO S. GIOVANNI
