id,name,price,room_type,accommodates,review_scores_rating,quartiere
886654227966388727,Torre Argentina Apartment,$200.00,Entire home/apt,4,4.6,RIPA
886656708081911523,"Tiber Island View - Trastevere, Campo de' Fiori",$338.00,Entire home/apt,6,4.9,REGOLA
885382245512707448,Appartamento al Colosseo,$192.00,Entire home/apt,6,4.89,CELIO
885419498265018136,L' Attico Trasteverino - whole apartment -,$280.00,Entire home/apt,4,4.94,TRASTEVERE
885430983177720848,Casa a Roma at Termini,$66.00,Private room,2,4.38,ESQUILINO
889638040732121880,Vatican Double/Twin Room - Wi-Fi - A/C - Bathroom,$148.00,Private room,2,5.0,CAVALLEGGERI
889652956583723484,Vatican Vita Apartment,$220.00,Entire home/apt,3,4.91,BORGO
889656576987610718,"""Sui Generis""  Casa appartamento per vacanze",$117.00,Entire home/apt,6,4.97,ITALIA
889661656637264427,Villino relax con giardino in pineta,$64.00,Entire home/apt,2,4.84,STAGNI DI OSTIA
889674392477656349,Sapienza & Villa Borghese Comfy Apartment x5,$110.00,Entire home/apt,5,4.67,BELLE ARTI
889750691545724649,Trevi Relax Apartment,$243.00,Entire home/apt,9,4.5,COLONNA
886684459290262079,[Luxury House & Secret Garden] 5’ to Colosseum,$270.00,Entire home/apt,4,4.91,MONTI
886688184140569472,The central view n.2 by Dolce Vite,$223.00,Private room,2,4.72,CAMPO MARZIO
886730212467292170,"Penthouse private terrace elevator, Spanish Steps",$183.00,Entire home/apt,5,4.92,CAMPO MARZIO
886772696325356087,"Stylish Vatican house, Saint Peter’s view in Rome",$119.00,Entire home/apt,4,4.97,MAZZINI
886798935903640609,The Central View n.3 by Dolce Vite,$232.00,Private room,2,4.78,CAMPO MARZIO
886803527002203780,The Central View n.4 by Dolce Vite,$233.00,Private room,2,4.68,CAMPO MARZIO
886810196195373036,Lungotevere Apartment,$81.00,Entire home/apt,3,4.97,PORTA PORTESE
886819942060442645,Santa Bibiana cozy B&B yellow room,$110.00,Private room,2,5.0,ESQUILINO
886831451732822398,Spanish Steps Comfortable Loft,$191.00,Entire home/apt,2,4.72,CAMPO MARZIO
886865372442721065,Pantheon apartment with private terrace,$224.00,Entire home/apt,2,4.74,PIGNA
886942350591479159,Trastevere garden apartment,$75.00,Private room,2,4.98,MONTEVERDE VECCHIO
889836905393964772,CineB&B stanza “Fellini 8 1/2”,$58.00,Private room,2,4.96,DON BOSCO
889888191338415739,Ripetta Beauty House,$336.00,Entire home/apt,6,4.78,CAMPO MARZIO
889919862496541623,"GiGi a via Giulia / House Giulia, Roma",$180.00,Entire home/apt,4,4.96,PONTE
889971029115838003,"GiGi a via Giulia/Room Giulietta, Roma",$154.00,Private room,2,4.95,PONTE
890270023387314850,Apartment Roma- Vaticano,$124.00,Entire home/apt,3,4.96,PRATI
890339707219723225,Edera • Experience Authentic Roman Living AC,$152.00,Entire home/apt,4,4.84,S. LORENZO
890418648863791287,Casa Stella,$143.00,Entire home/apt,4,4.91,ESQUILINO
890472926473150555,Piazza Bologna,$116.00,Private room,2,4.5,ITALIA
886950326790066424,Trastevere - San Calisto 3 BDR,$234.00,Entire home/apt,8,4.68,TRASTEVERE
886954178922711428,CineB&B due stanze da Oscar,$98.00,Private room,4,5.0,DON BOSCO
886986209317538071,Trastevere 2 bedrooms 1 bathroom,$140.00,Entire home/apt,4,4.82,TRASTEVERE
886990114043412631,Casa tua,$110.00,Private room,2,4.86,TOR MARANCIA
887029919198758818,Stanza moderna Eur Tintoretto,$54.00,Private room,2,4.99,TINTORETTO
887049693723936611,New Home Rome,$270.00,Entire home/apt,6,5.0,CENTOCELLE
890478121235742586,Ambio Suites Luxury Trastevere - B4,$211.00,Entire home/apt,2,4.82,TRASTEVERE
890563088206140214,Apartment on the square,$237.00,Entire home/apt,4,5.0,MARCONI
890611842111847418,Large Bright Room With Balcony 1,$39.00,Private room,2,4.0,VIGNA CLARA
890640562992571150,"Lexie, Suite con 2 camere e bagno privato, Termini",$201.00,Private room,4,4.94,CASTRO PRETORIO
890681796292080302,Charming new apartment S. Peter / Fornaci,$264.00,Entire home/apt,8,4.98,CAVALLEGGERI
890970149066921790,"Cute and bright, next to Pigneto",$81.00,Entire home/apt,4,4.75,PIGNETO
891082108637452164,"Appartamento climatizzato in Centro-Wifi, Smart Tv",$115.00,Entire home/apt,9,4.97,SALARIO
