quartiere,municipio,num_residenti
APPIO CLAUDIO,7,17883
APPIO LATINO - ALBERONE,7,30425
APPIO S. GIOVANNI,7,26909
ARCO DI TRAVERTINO,7,2286
CAMPO ROMANO,7,6498
CAPANNELLE,7,2721
CECAFUMO,7,3932
CENTRONI - VALLE MARCIANA,7,4028
CINECITTA',7,0
CINECITTA' EST,7,18280
COLLE TAPPI,7,2083
COLLI ALBANI,7,9784
DON BOSCO,7,30618
FURIO CAMILLO,7,14837
GREGNA S. ANDREA,7,2387
LAMARO - CINECITTA',7,7036
MANDRIONE,7,10450
MORENA,7,16202
NUOVA ROMANINA,7,4405
NUOVA TOR VERGATA,7,6461
OSTERIA DEL CURATO,7,5154
PARCO DEGLI ACQUEDOTTI,7,14
QUADRARETTO,7,6540
QUADRARO,7,10801
QUARTO MIGLIO,7,6527
ROMANINA,7,7620
STATUARIO,7,5196
TOR DI MEZZAVIA,7,3906
TOR FISCALE,7,2315
TOR SANTI QUATTRO,7,873
TORRE SPACCATA,7,13427
TUSCOLANO,7,21402
VERMICINO,7,3667
VILLAGGIO APPIO,7,2501
ARDEATINO,8,5166
CAVA PACE,8,444
CORNACCHIOLE - PARCO DELL'APPIA ANTICA,8,424
FIORANELLO - PARCO DELL'APPIA ANTICA,8,221
FIORANO - PARCO DELL'APPIA ANTICA,8,40
GARBATELLA,8,26097
GROTTA PERFETTA,8,1110
L'ANNUNZIATELLA,8,2916
MONTAGNOLA,8,18756
OSTIENSE,8,7158
OTTAVO COLLE,8,6215
PARCO DELL'APPIA ANTICA,8,1849
RINNOVAMENTO,8,4313
ROMA 70,8,8086
SAN PAOLO,8,19616
TENUTA DI TOR MARANCIA - PARCO DELL'APPIA ANTICA,8,41
TENUTA S. ALESSIO,8,18
TINTORETTO,8,5256
TOR MARANCIA,8,13005
TORRICOLA - PARCO DELL'APPIA ANTICA,8,330
TRE FONTANE,8,330
VALCO S. PAOLO,8,3754
VALLE DELLA CAFFARELLA - PARCO DELL'APPIA ANTICA,8,27
ACQUA ACETOSA OSTIENSE,9,2778
CASAL BRUNORI,9,4399
CASTEL DI DECIMA,9,303
CASTEL DI LEVA,9,4105
CASTEL ROMANO,9,266
CASTELLACCIO,9,6863
CECCHIGNOLA,9,4188
CIMITERO LAURENTINO,9,0
CITTA' MILITARE DELLA CECCHIGNOLA,9,1787
COLLE DEL PINO,9,1105
COLLE DI MEZZO,9,2220
DECIMA,9,7272
EUR,9,8999
FALCOGNANA-DIVINO AMORE,9,2146
FERRATELLA,9,6826
FONTE LAURENTINA,9,9403
FONTE MERAVIGLIOSA,9,6686
GIULIANO DALMATA,9,7765
LA CASTELLUCCIA,9,2289
LA SELVOTTA,9,1314
LAURENTINO FONTE OSTIENSE,9,13725
MEZZOCAMMINO,9,9678
MILLEVOI,9,1440
MOLINO S. FELICOLA,9,1864
MONTE DELLA CACCIA,9,112
MONTE DI LEVA,9,662
MONTE LUNGO,9,550
MONTE MIGLIORE,9,1617
MOSTACCIANO,9,5171
PORTA MEDAGLIA BELLA CENCI,9,300
SANTA FUMIA,9,853
SANTA PALOMBA,9,1339
SCHIZZANELLO,9,652
SOLFARATA,9,150
SPINACETO,9,12454
SPREGAMORE,9,1065
TOR DE' CENCI,9,11120
TOR DI VALLE,9,8
TOR PAGNOTTA,9,873
TORRINO,9,16300
TRIGORIA,9,8136
TRIGORIA ALTA,9,1195
VALLE DELLA PERNA,9,462
VALLERANO,9,4062
VITINIA,9,6270
ACILIA NORD,10,10551
ACILIA SUD,10,17011
AXA,10,6890
BAGNOLETTO,10,3826
CASAL BERNOCCHI,10,4778
CASAL PALOCCO,10,9395
CASTEL FUSANO,10,255
CASTEL PORZIANO,10,116
CENTRO GIANO,10,2710
DRAGONA,10,12315
DRAGONCELLO,10,4481
GIARDINO DI ROMA,10,5916
INFERNETTO,10,30393
LA LINGUA,10,2214
LIDO DI CASTEL FUSANO,10,1181
MADONNETTA,10,7719
MALAFEDE,10,3954
OSTIA ANTICA,10,8117
OSTIA LEVANTE,10,35175
OSTIA PONENTE,10,41523
PARCO ARCHEOLOGICO OSTIA ANTICA,10,5
SAPONARA,10,8365
STAGNI DI OSTIA,10,5441
BORGATA PETRELLI,11,834
CAMPO DI MERLO,11,243
CASETTA MATTEI,11,12356
CHIESOLA,11,275
COLLE DEL SOLE,11,7495
CORVIALE,11,3324
IDROVORE DELLA MAGLIANA,11,637
MAGLIANA,11,22484
MALNOME,11,301
MARCONI,11,33157
MONTE CUCCO,11,2478
MONTE DELLE CAPRE,11,10473
MONTE STALLONARA,11,2055
MURATELLA,11,4107
NUOVA FIERA DI ROMA,11,133
PARCO DE' MEDICI,11,82
PARROCCHIETTA,11,3265
PIAN DUE TORRI,11,124
PIANA DEL SOLE,11,4734
PISANA- PARCO DELLA PACE,11,671
PONTE GALERIA,11,2348
PORTUENSE,11,16413
PRATI DELLA CHIAVICHETTA,11,77
SPALLETTE,11,2418
TENUTA DEI MASSIMI,11,1276
TRULLO,11,4498
VIGNA PIA,11,8373
VILLA BONELLI,11,3319
BRAVETTA,12,5305
CASAL LUMBROSO,12,4818
CASTEL DI GUIDO SUD,12,116
COLLE AURELIO,12,1441
COLLI PORTUENSI,12,27755
LA PISANA,12,656
MAGLIANELLA DI SOTTO,12,86
MALAGROTTA,12,210
MASSIMINA,12,8988
MONTEVERDE NUOVO,12,28251
MONTEVERDE VECCHIO,12,24477
PANTAN DI GRANO,12,44
PORTA PORTESE,12,5660
SANTA CECILIA,12,487
VIGNACCIA,12,4552
VILLA PAMPHILI,12,128
VILLA TROILI,12,3625
VILLINI,12,20250
ACQUAFREDDA,13,899
AURELIO,13,18596
BALDO DEGLI UBALDI,13,8932
BASTOGI,13,921
